Trade #,Type,Date/Time,Signal,Price USD,Position size (qty),Position size (value),Net P&L USD,Net P&L %,Run-up USD,Run-up %,Drawdown USD,Drawdown %,Cumulative P&L USD,Cumulative P&L %
27,Entry long,2024-12-18 20:06,Long,21545.25,1,21545.25,78.5,0.18,80.5,0.19,-234.5,-0.54,859,8.59
28,Exit long,2024-12-19 09:28,Exit Long,21667.75,1,21664.5,6.5,0.02,32.5,0.08,-125,-0.29,865.5,8.65
28,Entry long,2024-12-19 07:43,Long,21664.5,1,21664.5,6.5,0.02,32.5,0.08,-125,-0.29,865.5,8.65
29,Exit short,2024-12-19 16:18,Exit Short,21356.25,1,21446,179.5,0.42,202,0.47,-307.5,-0.72,1045,10.45
29,Entry short,2024-12-19 12:42,Short,21446,1,21446,179.5,0.42,202,0.47,-307.5,-0.72,1045,10.45
30,Exit short,2024-12-19 21:10,Exit Short,21246.5,1,21294.25,95.5,0.22,104.5,0.25,-33.5,-0.08,1140.5,11.41
30,Entry short,2024-12-19 19:45,Short,21294.25,1,21294.25,95.5,0.22,104.5,0.25,-33.5,-0.08,1140.5,11.41
31,Exit long,2024-12-20 04:37,Exit Long,21133,1,21293.25,-320.5,-0.75,16.5,0.04,-330.5,-0.78,820,8.20
31,Entry long,2024-12-20 01:56,Long,21293.25,1,21293.25,-320.5,-0.75,16.5,0.04,-330.5,-0.78,820,8.20
32,Exit short,2024-12-20 06:52,Exit Short,21074.25,1,21133,117.5,0.28,122.5,0.29,-30.5,-0.07,937.5,9.38
32,Entry short,2024-12-20 04:37,Short,21133,1,21133,117.5,0.28,122.5,0.29,-30.5,-0.07,937.5,9.38
33,Exit short,2024-12-20 07:15,Exit Short,21042.75,1,21067.25,49,0.12,69.5,0.16,-28.5,-0.07,986.5,9.87
33,Entry short,2024-12-20 07:03,Short,21067.25,1,21067.25,49,0.12,69.5,0.16,-28.5,-0.07,986.5,9.87
34,Exit long,2024-12-20 09:07,Exit Long,21226.75,1,21161,131.5,0.31,145,0.34,-12,-0.03,1118,11.18
34,Entry long,2024-12-20 08:31,Long,21161,1,21161,131.5,0.31,145,0.34,-12,-0.03,1118,11.18
35,Exit long,2024-12-20 11:05,Exit Long,21598.5,1,21528.75,139.5,0.32,142.5,0.33,-50,-0.12,1257.5,12.58
35,Entry long,2024-12-20 10:53,Long,21528.75,1,21528.75,139.5,0.32,142.5,0.33,-50,-0.12,1257.5,12.58
36,Exit short,2024-12-20 15:34,Exit Short,21573.75,1,21667.75,188,0.43,200,0.46,-170.5,-0.39,1445.5,14.46
36,Entry short,2024-12-20 13:43,Short,21667.75,1,21667.75,188,0.43,200,0.46,-170.5,-0.39,1445.5,14.46
37,Exit short,2024-12-23 00:29,Exit Short,21718.5,1,21583.75,-269.5,-0.62,141.5,0.33,-274.5,-0.64,1176,11.76
37,Entry short,2024-12-20 15:51,Short,21583.75,1,21583.75,-269.5,-0.62,141.5,0.33,-274.5,-0.64,1176,11.76
38,Exit long,2024-12-23 00:59,Exit Long,21728,1,21718.5,19,0.04,26,0.06,-3,-0.01,1195,11.95
38,Entry long,2024-12-23 00:29,Long,21718.5,1,21718.5,19,0.04,26,0.06,-3,-0.01,1195,11.95
39,Exit long,2024-12-23 05:47,Exit Long,21625.25,1,21729.75,-209,-0.48,23.5,0.05,-212,-0.49,986,9.86
39,Entry long,2024-12-23 01:07,Long,21729.75,1,21729.75,-209,-0.48,23.5,0.05,-212,-0.49,986,9.86
40,Exit short,2024-12-23 06:06,Exit Short,21613,1,21625.25,24.5,0.06,34.5,0.08,-24.5,-0.06,1010.5,10.11
40,Entry short,2024-12-23 05:47,Short,21625.25,1,21625.25,24.5,0.06,34.5,0.08,-24.5,-0.06,1010.5,10.11
41,Exit short,2024-12-23 06:30,Exit Short,21581.5,1,21603,43,0.10,51,0.12,-15.5,-0.04,1053.5,10.54
41,Entry short,2024-12-23 06:18,Short,21603,1,21603,43,0.10,51,0.12,-15.5,-0.04,1053.5,10.54
42,Exit short,2024-12-23 11:37,Exit Short,21632.5,1,21584,-97,-0.22,216,0.50,-183,-0.42,956.5,9.57
42,Entry short,2024-12-23 06:48,Short,21584,1,21584,-97,-0.22,216,0.50,-183,-0.42,956.5,9.57
43,Exit long,2024-12-23 11:46,Exit Long,21671.25,1,21632.5,77.5,0.18,103,0.24,-31.5,-0.07,1034,10.34
43,Entry long,2024-12-23 11:37,Long,21632.5,1,21632.5,77.5,0.18,103,0.24,-31.5,-0.07,1034,10.34
44,Exit long,2024-12-23 14:01,Exit Long,21756,1,21730.75,50.5,0.12,53,0.12,-14,-0.03,1084.5,10.85
44,Entry long,2024-12-23 13:33,Long,21730.75,1,21730.75,50.5,0.12,53,0.12,-14,-0.03,1084.5,10.85
45,Exit short,2024-12-24 02:02,Exit Short,21773.5,1,21672.25,-202.5,-0.47,4,0.01,-203,-0.47,882,8.82
45,Entry short,2024-12-23 15:18,Short,21672.25,1,21672.25,-202.5,-0.47,4,0.01,-203,-0.47,882,8.82
